database	pathway_id	pathway_name	frozen_tier_class	Tier1_BH	Tier1_BY	retained_under_BY	lost_under_BY
GO_BP	GO:0002260	lymphocyte homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0002262	myeloid cell homeostasis	Neither	NO	NO	NA	NO
GO_BP	GO:0002263	cell activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002269	leukocyte activation involved in inflammatory response	Neither	NO	NO	NA	NO
GO_BP	GO:0002274	myeloid leukocyte activation	Neither	NO	NO	NA	NO
GO_BP	GO:0002275	myeloid cell activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002279	mast cell activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002281	macrophage activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002283	neutrophil activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002285	lymphocyte activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002286	T cell activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002287	alpha-beta T cell activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002292	T cell differentiation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002295	T-helper cell lineage commitment	Neither	NO	NO	NA	NO
GO_BP	GO:0002312	B cell activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002313	mature B cell differentiation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002315	marginal zone B cell differentiation	Neither	NO	NO	NA	NO
GO_BP	GO:0002323	natural killer cell activation involved in immune response	Firth_only	NO	NO	NA	NO
GO_BP	GO:0002327	immature B cell differentiation	Neither	NO	NO	NA	NO
GO_BP	GO:0002335	mature B cell differentiation	Neither	NO	NO	NA	NO
GO_BP	GO:0002347	response to tumor cell	Neither	NO	NO	NA	NO
GO_BP	GO:0002357	defense response to tumor cell	Neither	NO	NO	NA	NO
GO_BP	GO:0002360	T cell lineage commitment	Neither	NO	NO	NA	NO
GO_BP	GO:0002363	alpha-beta T cell lineage commitment	Neither	NO	NO	NA	NO
GO_BP	GO:0002366	leukocyte activation involved in immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002377	immunoglobulin production	Neither	NO	NO	NA	NO
GO_BP	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002385	mucosal immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002396	MHC protein complex assembly	Neither	NO	NO	NA	NO
GO_BP	GO:0002399	MHC class II protein complex assembly	Neither	NO	NO	NA	NO
GO_BP	GO:0002407	dendritic cell chemotaxis	Empirical_only	NO	NO	NA	NO
GO_BP	GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib	Neither	NO	NO	NA	NO
GO_BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002430	complement receptor mediated signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002431	Fc receptor mediated stimulatory signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002437	inflammatory response to antigenic stimulus	Neither	NO	NO	NA	NO
GO_BP	GO:0002438	acute inflammatory response to antigenic stimulus	Neither	NO	NO	NA	NO
GO_BP	GO:0002440	production of molecular mediator of immune response	Neither	NO	NO	NA	NO
GO_BP	GO:0002443	leukocyte mediated immunity	Neither	NO	NO	NA	NO
GO_BP	GO:0002444	myeloid leukocyte mediated immunity	Neither	NO	NO	NA	NO
GO_BP	GO:0002446	neutrophil mediated immunity	Neither	NO	NO	NA	NO
GO_BP	GO:0002448	mast cell mediated immunity	Neither	NO	NO	NA	NO
GO_BP	GO:0002449	lymphocyte mediated immunity	Neither	NO	NO	NA	NO
GO_BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	Neither	NO	NO	NA	NO
GO_BP	GO:0002456	T cell mediated immunity	Neither	NO	NO	NA	NO
GO_BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	Neither	NO	NO	NA	NO
GO_BP	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	Neither	NO	NO	NA	NO
GO_BP	GO:0002475	antigen processing and presentation via MHC class Ib	Neither	NO	NO	NA	NO
GO_BP	GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	Neither	NO	NO	NA	NO
GO_BP	GO:0002478	antigen processing and presentation of exogenous peptide antigen	Neither	NO	NO	NA	NO
GO_BP	GO:0002483	antigen processing and presentation of endogenous peptide antigen	Neither	NO	NO	NA	NO
GO_BP	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002486	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	Neither	NO	NO	NA	NO
GO_BP	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	Neither	NO	NO	NA	NO
GO_BP	GO:0002501	peptide antigen assembly with MHC protein complex	Neither	NO	NO	NA	NO
GO_BP	GO:0002503	peptide antigen assembly with MHC class II protein complex	Neither	NO	NO	NA	NO
GO_BP	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	Neither	NO	NO	NA	NO
GO_BP	GO:0002507	tolerance induction	Neither	NO	NO	NA	NO
GO_BP	GO:0002520	immune system development	Neither	NO	NO	NA	NO
GO_BP	GO:0002521	leukocyte differentiation	Firth_only	NO	NO	NA	NO
GO_BP	GO:0002523	leukocyte migration involved in inflammatory response	Neither	NO	NO	NA	NO
GO_BP	GO:0002526	acute inflammatory response	Neither	NO	NO	NA	NO
GO_BP	GO:0002532	production of molecular mediator involved in inflammatory response	Neither	NO	NO	NA	NO
GO_BP	GO:0002544	chronic inflammatory response	Neither	NO	NO	NA	NO
GO_BP	GO:0002548	monocyte chemotaxis	Neither	NO	NO	NA	NO
GO_BP	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	Neither	NO	NO	NA	NO
GO_BP	GO:0002566	somatic diversification of immune receptors via somatic mutation	Neither	NO	NO	NA	NO
GO_BP	GO:0002573	myeloid leukocyte differentiation	Neither	NO	NO	NA	NO
