stage	stage_scope	database	family_n	pathway_id	pathway_name	P	q_BH	q_BY	BH_class	BY_class	classification_changed
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007040	lysosome organization	0.0265495316711481	0.31251608554591176	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007041	lysosomal transport	0.99887187946111	0.999222012847934	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007042	lysosomal lumen acidification	0.132926575356029	0.529237597262007	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007043	cell-cell junction assembly	0.183485411638714	0.5768439207747954	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007044	cell-substrate junction assembly	0.448561380898696	0.7042966835077488	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007051	spindle organization	0.230512466249765	0.6125878550924765	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007052	mitotic spindle organization	0.8602589201477	0.9380610293035168	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007059	chromosome segregation	0.119667585019154	0.5140833725201275	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007062	sister chromatid cohesion	0.38110056928739	0.666542072126086	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007063	regulation of sister chromatid cohesion	0.224594236802057	0.6125878550924765	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007064	mitotic sister chromatid cohesion	0.199339780723712	0.5856613503742482	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007076	mitotic chromosome condensation	0.119747062066217	0.5140833725201275	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007080	mitotic metaphase chromosome alignment	0.636901480050875	0.8108758196908243	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007084	mitotic nuclear membrane reassembly	0.0730557247487813	0.46344724823506006	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007088	regulation of mitotic nuclear division	0.903141681431999	0.9553894215822782	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007093	mitotic cell cycle checkpoint signaling	0.177047810302816	0.5715950170686006	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007094	mitotic spindle assembly checkpoint signaling	0.470076542228794	0.7146348333897299	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007095	mitotic G2 DNA damage checkpoint signaling	0.505492771531879	0.7345452999641693	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007096	regulation of exit from mitosis	0.28226019782401	0.6194874472656597	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007097	nuclear migration	0.225035333869216	0.6125878550924765	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007098	centrosome cycle	0.0474509506928456	0.41245244222648886	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007099	centriole replication	0.138770071262473	0.5344854334844367	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007127	meiosis I	0.00113917008781078	0.04138984652379168	0.3799868655262981	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007129	homologous chromosome pairing at meiosis	0.251092689876833	0.6158664085637892	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007130	synaptonemal complex assembly	0.087829519081166	0.4803010214088541	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007131	reciprocal meiotic recombination	6.83199590922712e-05	0.007406347293632453	0.06799529182812637	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007140	male meiotic nuclear division	0.000446022415484637	0.021779610318227886	0.19995159567577644	SIGNIFICANT	NOT_SIGNIFICANT	YES
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007141	male meiosis I	3.19151943030902e-05	0.005265290343887792	0.048338936765801775	SIGNIFICANT	SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007143	female meiotic nuclear division	0.00162511901630814	0.05214436489894065	0.4787206389233266	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007156	homophilic cell-cell adhesion	0.840375052190678	0.9262562441180642	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007157	heterophilic cell-cell adhesion	0.491605905852519	0.7291590104159731	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
